customer_id,name,city,state,country,registration_date,is_active
0,Customer_0,Pune,West Bengal,India,2023-10-10,True
1,Customer_1,Bangalore,Gujarat,India,2023-10-19,False
2,Customer_2,Bangalore,Karnataka,India,2023-02-10,True
3,Customer_3,Bangalore,Telangana,India,2023-03-24,True
4,Customer_4,Hyderabad,Telangana,India,2023-06-04,False
5,Customer_5,Hyderabad,West Bengal,India,2023-07-26,True
6,Customer_6,Hyderabad,Karnataka,India,2023-08-07,False
7,Customer_7,Bangalore,Telangana,India,2023-08-25,True
8,Customer_8,Bangalore,Maharashtra,India,2023-07-13,False
9,Customer_9,Ahmedabad,Delhi,India,2023-07-30,False
10,Customer_10,Chennai,Gujarat,India,2023-01-14,False
11,Customer_11,Pune,West Bengal,India,2023-04-10,True
12,Customer_12,Delhi,Tamil Nadu,India,2023-06-20,True
13,Customer_13,Ahmedabad,Delhi,India,2023-11-09,True
14,Customer_14,Ahmedabad,West Bengal,India,2023-02-18,True
15,Customer_15,Mumbai,Telangana,India,2023-04-25,False
16,Customer_16,Delhi,Tamil Nadu,India,2023-04-25,False
17,Customer_17,Chennai,Gujarat,India,2023-05-05,False
18,Customer_18,Ahmedabad,Gujarat,India,2023-08-06,True
19,Customer_19,Delhi,Telangana,India,2023-04-27,True
20,Customer_20,Hyderabad,West Bengal,India,2023-11-20,False
21,Customer_21,Delhi,Delhi,India,2023-05-13,True
22,Customer_22,Pune,Karnataka,India,2023-11-24,False
23,Customer_23,Bangalore,Telangana,India,2023-07-31,True
24,Customer_24,Chennai,Gujarat,India,2023-07-12,False
25,Customer_25,Delhi,Tamil Nadu,India,2023-11-28,True
26,Customer_26,Hyderabad,Telangana,India,2023-01-12,False
27,Customer_27,Chennai,Tamil Nadu,India,2023-03-13,False
28,Customer_28,Delhi,Tamil Nadu,India,2023-12-27,False
29,Customer_29,Ahmedabad,Tamil Nadu,India,2023-04-17,False
30,Customer_30,Chennai,Tamil Nadu,India,2023-03-13,False
31,Customer_31,Hyderabad,Gujarat,India,2023-07-17,False
32,Customer_32,Delhi,Telangana,India,2023-09-21,True
33,Customer_33,Mumbai,Tamil Nadu,India,2023-06-13,True
34,Customer_34,Delhi,Maharashtra,India,2023-07-22,True
35,Customer_35,Bangalore,Gujarat,India,2023-04-27,True
36,Customer_36,Kolkata,Gujarat,India,2023-02-10,False
37,Customer_37,Hyderabad,Maharashtra,India,2023-04-01,True
38,Customer_38,Chennai,Gujarat,India,2023-08-10,True
39,Customer_39,Bangalore,Delhi,India,2023-04-21,False
40,Customer_40,Kolkata,Delhi,India,2023-04-23,False
41,Customer_41,Delhi,Delhi,India,2023-09-29,True
42,Customer_42,Mumbai,Telangana,India,2023-08-05,False
43,Customer_43,Chennai,Tamil Nadu,India,2023-08-03,True
44,Customer_44,Bangalore,Telangana,India,2023-06-20,True
45,Customer_45,Chennai,Gujarat,India,2023-11-11,True
46,Customer_46,Bangalore,Delhi,India,2023-08-06,True
47,Customer_47,Chennai,Delhi,India,2023-05-25,True
48,Customer_48,Bangalore,Tamil Nadu,India,2023-06-18,True
49,Customer_49,Bangalore,West Bengal,India,2023-01-23,True
50,Customer_50,Chennai,West Bengal,India,2023-11-25,True
51,Customer_51,Ahmedabad,Karnataka,India,2023-10-06,True
52,Customer_52,Chennai,Maharashtra,India,2023-12-02,False
53,Customer_53,Chennai,Tamil Nadu,India,2023-10-03,True
54,Customer_54,Mumbai,Delhi,India,2023-05-31,True
55,Customer_55,Hyderabad,Karnataka,India,2023-03-16,False
56,Customer_56,Pune,Telangana,India,2023-07-13,True
57,Customer_57,Chennai,Telangana,India,2023-08-15,False
58,Customer_58,Delhi,Gujarat,India,2023-03-08,False
59,Customer_59,Hyderabad,Telangana,India,2023-05-17,True
60,Customer_60,Chennai,Tamil Nadu,India,2023-05-02,False
61,Customer_61,Chennai,Telangana,India,2023-08-26,True
62,Customer_62,Ahmedabad,Karnataka,India,2023-08-03,True
63,Customer_63,Delhi,Telangana,India,2023-07-07,False
64,Customer_64,Kolkata,Delhi,India,2023-03-27,True
65,Customer_65,Delhi,Tamil Nadu,India,2023-03-06,False
66,Customer_66,Pune,Maharashtra,India,2023-12-16,False
67,Customer_67,Ahmedabad,West Bengal,India,2023-06-19,True
68,Customer_68,Hyderabad,Maharashtra,India,2023-09-29,True
69,Customer_69,Hyderabad,Delhi,India,2023-11-29,False
70,Customer_70,Ahmedabad,West Bengal,India,2023-05-06,False
71,Customer_71,Ahmedabad,Tamil Nadu,India,2023-08-27,True
72,Customer_72,Delhi,Gujarat,India,2023-04-08,True
73,Customer_73,Bangalore,Maharashtra,India,2023-02-11,True
74,Customer_74,Hyderabad,Gujarat,India,2023-08-11,False
75,Customer_75,Kolkata,Tamil Nadu,India,2023-02-02,True
76,Customer_76,Pune,Gujarat,India,2023-04-04,True
77,Customer_77,Mumbai,Karnataka,India,2023-09-14,True
78,Customer_78,Mumbai,Delhi,India,2023-01-07,False
79,Customer_79,Kolkata,Gujarat,India,2023-11-02,False
80,Customer_80,Pune,West Bengal,India,2023-04-12,False
81,Customer_81,Mumbai,Maharashtra,India,2023-01-24,False
82,Customer_82,Kolkata,Gujarat,India,2023-05-06,False
83,Customer_83,Mumbai,Telangana,India,2023-01-08,True
84,Customer_84,Mumbai,West Bengal,India,2023-02-03,True
85,Customer_85,Bangalore,Gujarat,India,2023-12-28,False
86,Customer_86,Bangalore,Maharashtra,India,2023-11-08,True
87,Customer_87,Ahmedabad,Telangana,India,2023-05-29,False
88,Customer_88,Chennai,Maharashtra,India,2023-08-10,True
89,Customer_89,Kolkata,Tamil Nadu,India,2023-09-01,False
90,Customer_90,Bangalore,Delhi,India,2023-11-23,True
91,Customer_91,Ahmedabad,West Bengal,India,2023-02-14,False
92,Customer_92,Kolkata,Telangana,India,2023-09-29,True
93,Customer_93,Delhi,Karnataka,India,2023-09-04,False
94,Customer_94,Delhi,Telangana,India,2023-09-29,False
95,Customer_95,Pune,West Bengal,India,2023-07-06,True
96,Customer_96,Kolkata,Gujarat,India,2023-11-18,True
97,Customer_97,Pune,Gujarat,India,2023-05-23,True
98,Customer_98,Ahmedabad,Maharashtra,India,2023-03-15,False
99,Customer_99,Mumbai,Gujarat,India,2023-01-19,False
100,Customer_100,Kolkata,Maharashtra,India,2023-02-11,True
